property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating,coordinates,latitude,longitude
flat,mapsko casa bella,sector 82,1.3,6379.0,4,4,3+,1.0,North,1774.0,0,1,0,0,0,Relatively New,Unfurnished,86,4.1,"28.3935° N, 76.9600° E",28.3935, 76.9600
flat,pooja apartment,sector 3 phase 3 extension,0.25,3571.0,2,2,2,2.0,East,778.0,0,0,0,0,0,Relatively New,Unfurnished,0,3.75,"28.4908° N, 76.9935° E",28.4908,76.9935
flat,signature global park,sohna road,0.95,7845.0,3,2,3+,1.0,East,1210.73,0,0,0,0,0,Relatively New,Unfurnished,29,4.8,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,dlf new town heights,sector 90,1.99,7297.0,4,4,3+,9.0,East,3030.0,0,1,0,1,0,Relatively New,Furnished,63,4.4,"28.4085° N, 76.9369° E",28.4085, 76.9369
flat,paras dews,sector 106,1.05,7581.0,2,2,2,5.0,West,1539.0,0,0,0,0,0,New Property,Unfurnished,66,4.3,"28.5007° N, 77.0003° E",28.5007, 77.0003
flat,godrej air,sector 85,1.83,10005.0,3,3,3+,18.0,East,2032.0,0,0,0,0,0,Relatively New,Unfurnished,66,4.88,"28.4042° N, 76.9513° E",28.4042, 76.9513
flat,dlf the primus,sector 82,2.25,10714.0,3,3,3+,29.0,East,2333.0,0,1,0,0,0,Relatively New,Semi-Furnished,46,4.6,"28.3935° N, 76.9600° E",28.3935, 76.9600
flat,emaar mgf emerald floors premier,sector 65,2.8,16970.0,3,3,3+,3.0,South-West,1833.0,1,1,0,0,0,Relatively New,Furnished,37,4.5,"28.4030° N, 77.0690° E",28.4030, 77.0690
flat,dlf regency park,sector 28,1.6,14545.0,2,2,2,3.0,North,1222.0,0,0,0,0,0,Relatively New,Unfurnished,45,4.4,"28.4728° N, 77.0865° E",28.4728, 77.0865
flat,supertech araville,sector 79,0.83,5425.0,2,2,3,5.0,North-East,1700.0,1,0,0,0,0,New Property,Semi-Furnished,23,3.75,"28.3624° N, 76.9787° E",28.3624, 76.9787
flat,signature global park,sohna road,0.83,7411.0,3,2,2,1.0,East,1244.0,0,0,0,0,0,New Property,Unfurnished,19,4.8,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,maxworth city residences,sector 10,0.8,6400.0,2,3,2,9.0,East,1389.0,0,0,0,0,0,New Property,Unfurnished,33,4.75,"28.4537° N, 77.0009° E",28.4537, 77.0009
flat,deepak minda,manesar,1.25,4715.0,4,4,3+,6.0,North-West,2946.0,0,0,0,0,0,Moderately Old,Furnished,22,4.2,"28.3515° N, 76.9428° E",28.3515, 76.9428
flat,pivotal devaan,sector 84,0.3,6667.0,1,1,1,14.0,East,500.0,0,0,0,0,0,New Property,Furnished,6,4.0,"28.3979° N, 76.9736° E",28.3979, 76.9736
flat,unitech the residences,sector 33,1.55,9873.0,3,4,1,1.0,South,1421.0,0,1,0,0,0,Relatively New,Unfurnished,16,4.1,"28.4420° N, 77.0207° E",28.4420, 77.0207
flat,chd avenue,sector 71,0.79,6594.0,2,2,2,8.0,South-East,1084.0,0,0,0,0,1,Relatively New,Unfurnished,0,3.4,"28.4104° N, 77.0281° E",28.4104, 77.0281
flat,silverglades the melia,sohna road,1.01,6999.0,2,2,3,12.0,East,1184.0,1,0,0,0,0,Relatively New,Unfurnished,60,4.25,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5008.0,4,5,3+,4.0,East,1717.0,0,1,0,0,0,Moderately Old,Unfurnished,16,4.0,"28.4079° N, 76.9153° E",28.4079, 76.9153
flat,umang winter hills,sector 77,0.99,7857.0,2,2,2,1.0,North,1126.0,0,0,0,0,0,Relatively New,Unfurnished,51,4.6,"28.3801° N, 76.9845° E",28.3801, 76.9845
flat,ramprastha skyz,sector 37,1.1,6377.0,3,3,3+,7.0,East,1561.0,0,0,0,0,0,Relatively New,Unfurnished,76,4.0,"28.4375° N, 76.9999° E",28.4375, 76.9999
flat,4s aradhya homes,sector 67,1.9,8862.0,4,4,3,3.0,East,1991.0,0,0,0,0,0,New Property,Furnished,35,4.5,"28.3859° N, 77.0608° E",28.3859, 77.0608
flat,ild greens,sector 37,1.0,4320.0,3,3,3+,5.0,North,1697.0,0,0,0,0,0,Under Construction,Unfurnished,35,4.7,"28.4375° N, 76.9999° E",28.4375, 76.9999
flat,bptp freedom park life,sector 57,2.5,11111.0,3,3,3,9.0,East,2036.0,0,0,0,0,0,Moderately Old,Unfurnished,45,4.8,"28.4232° N, 77.0752° E",28.4232, 77.0752
flat,godrej habitat,sector 3,1.1,10407.0,2,2,2,14.0,North-East,956.0,0,0,0,0,0,Relatively New,Unfurnished,28,4.38,"28.4909° N, 77.0176° E",28.4909, 77.0176
flat,ramsons kshitij,sector 95,0.29,5179.0,2,2,2,14.0,East,507.0,0,0,0,0,0,Relatively New,Unfurnished,40,4.1,"28.4172° N, 76.9081° E",28.4172, 76.9081
flat,sidhartha ncr one,sector 95,0.55,5556.0,2,2,3,15.0,North-East,990.0,0,0,0,0,0,New Property,Unfurnished,0,4.25,"28.4172° N, 76.9081° E",28.4172, 76.9081
flat,raheja sampada,sector 92,0.65,4745.0,3,2,3,6.0,North-East,1240.0,0,0,0,0,0,Relatively New,Unfurnished,23,4.0,"28.4079° N, 76.9153° E",28.4079, 76.9153
flat,signature the serenas,sohna road,0.5,9398.0,2,2,2,6.0,East,591.0,0,0,0,0,0,New Property,Unfurnished,16,4.25,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,pareena laxmi apartments,sector 99,0.3175,5522.0,2,2,1,2.0,East,577.0,0,0,0,0,0,New Property,Unfurnished,29,3.8,"28.4640° N, 76.9614° E",28.4640, 76.9614
flat,satya the hermitage,sector 103,0.93,6405.0,2,3,3,3.0,East,1613.0,0,1,0,0,0,Relatively New,Furnished,57,4.0,"28.4949° N, 76.9845° E",28.4949, 76.9845
flat,smart world gems,sector 89,1.2,8433.0,3,3,2,2.0,North-East,1581.0,0,0,0,0,0,New Property,Unfurnished,22,4.0,"28.4253° N, 76.9439° E",28.4253, 76.9439
flat,gls arawali homes,sohna road,0.3,4688.0,2,2,2,4.0,East,711.0,0,0,0,0,0,Relatively New,Unfurnished,32,4.2,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,signature global park,sohna road,0.56,6813.0,2,2,3,3.0,South,913.0,0,0,0,0,0,New Property,Unfurnished,66,4.8,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,bestech park view city,sector 49,2.7,12506.0,3,4,3+,6.0,North-East,1954.0,0,0,0,0,0,Moderately Old,Unfurnished,0,4.2,"28.4121° N, 77.0480° E",28.4121, 77.0480
