property_type,sector,price,bedRoom,bathroom,balcony,facing,built_up_area,servant room,age_category,furnishing_type,combined_rating,luxury_category,floor_category
flat,sector 92,0.95,4,5,3+,East,1717.0,1,Moderately Old,Unfurnished,4.0,Low,Mid Floor
flat,sector 77,0.99,2,2,2,North,1126.0,0,Relatively New,Unfurnished,4.6,Medium,Low Floor
flat,sector 37,1.1,3,3,3+,East,1561.0,0,Relatively New,Unfurnished,4.0,Medium,Mid Floor
flat,sector 67,1.9,4,4,3,East,1991.0,0,New Property,Furnished,4.5,Low,Mid Floor
flat,sector 37,1.0,3,3,3+,North,1697.0,0,Under Construction,Unfurnished,4.7,Low,Mid Floor
flat,sector 57,2.5,3,3,3,East,2036.0,0,Moderately Old,Unfurnished,4.8,Low,Mid Floor
flat,sector 3,1.1,2,2,2,North-East,956.0,0,Relatively New,Unfurnished,4.38,Low,High Floor
flat,sector 95,0.29,2,2,2,East,507.0,0,Relatively New,Unfurnished,4.1,Low,High Floor
flat,sector 95,0.55,2,2,3,North-East,990.0,0,New Property,Unfurnished,4.25,Low,High Floor
flat,sector 92,0.65,3,2,3,North-East,1240.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sohna road,0.5,2,2,2,East,591.0,0,New Property,Unfurnished,4.25,Low,Mid Floor
flat,sector 99,0.3175,2,2,1,East,577.0,0,New Property,Unfurnished,3.8,Low,Low Floor
flat,sector 103,0.93,2,3,3,East,1613.0,1,Relatively New,Furnished,4.0,Medium,Mid Floor
flat,sector 89,1.2,3,3,2,North-East,1581.0,0,New Property,Unfurnished,4.0,Low,Low Floor
flat,sohna road,0.3,2,2,2,East,711.0,0,Relatively New,Unfurnished,4.2,Low,Mid Floor
flat,sohna road,0.56,2,2,3,South,913.0,0,New Property,Unfurnished,4.8,Medium,Mid Floor
flat,sector 49,2.7,3,4,3+,North-East,1954.0,0,Moderately Old,Unfurnished,4.2,Low,Mid Floor
flat,sector 90,1.0,3,4,3,North-East,1765.0,1,New Property,Unfurnished,4.8,Medium,Mid Floor
flat,sector 30,1.45,3,2,2,North,1300.0,0,Old Property,Semi-Furnished,4.2,Low,Low Floor
flat,sector 89,1.25,3,3,0,East,1423.0,0,New Property,Unfurnished,4.0,Low,Mid Floor
flat,sector 66,4.5,5,5,3+,North-East,3321.0,1,New Property,Unfurnished,3.75,Medium,High Floor
flat,sohna road,0.28,2,2,1,East,743.0,0,Relatively New,Unfurnished,3.6,Low,High Floor
flat,sector 61,3.87,3,4,3+,East,1712.0,1,Under Construction,Unfurnished,4.2,Low,High Floor
flat,sector 109,1.38,3,3,1,North,2419.0,0,Moderately Old,Unfurnished,4.25,Low,Mid Floor
flat,sector 4,0.43,2,2,1,North-East,722.0,0,Relatively New,Unfurnished,4.5,Low,Low Floor
flat,sector 110,0.285,2,1,1,West,1000.0,0,Relatively New,Unfurnished,4.0,Low,Low Floor
flat,sector 37,1.1,2,2,2,South,1242.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 65,2.0,2,2,2,East,1433.0,0,Relatively New,Unfurnished,4.25,Low,High Floor
flat,sohna road,0.9,3,2,2,South,1014.0,0,Relatively New,Unfurnished,4.8,Medium,Low Floor
flat,sohna road,0.9,3,2,0,East,1120.0,0,Relatively New,Unfurnished,4.8,Low,Low Floor
