property_type,sector,price,bedRoom,bathroom,balcony,facing,built_up_area,servant room,age_category,furnishing_type,combined_rating,luxury_category,floor_category
flat,sector 107,0.8,2,2,3+,West,1204.0,0,Relatively New,Furnished,4.6,Medium,Mid Floor
flat,sector 104,2.65,4,4,3+,North-East,2851.0,1,Relatively New,Unfurnished,4.7,Medium,Mid Floor
flat,sector 43,2.35,3,3,2,North-East,1527.0,0,Old Property,Furnished,5.0,Medium,Low Floor
flat,sector 107,1.29,3,3,3+,East,1690.0,0,Relatively New,Furnished,4.6,Medium,Low Floor
flat,sector 104,1.83,3,4,3+,North,2000.0,1,Relatively New,Unfurnished,4.7,Medium,Mid Floor
flat,sector 107,1.39,3,4,3+,East,2057.0,1,Relatively New,Furnished,4.6,Medium,Mid Floor
flat,sector 83,1.12,3,3,2,South-East,1200.0,1,Relatively New,Furnished,4.2,Medium,Mid Floor
flat,sector 108,0.65,2,2,2,East,1235.0,0,Relatively New,Furnished,3.8,Medium,Mid Floor
flat,sector 91,1.5,3,4,3+,North-West,1786.0,1,Relatively New,Unfurnished,4.4,Medium,Mid Floor
flat,sector 91,1.9,4,4,3,North,2465.0,1,Relatively New,Unfurnished,4.4,Medium,Mid Floor
flat,sector 50,2.35,3,3,3,North-East,2000.0,0,Moderately Old,Furnished,4.5,Medium,Mid Floor
flat,sector 2,0.6,1,1,1,North-East,665.0,0,Moderately Old,Furnished,4.4,Low,Mid Floor
flat,sector 28,2.0,3,3,1,North-East,1240.0,0,Old Property,Furnished,4.7,Medium,High Floor
flat,sector 74,1.57,2,2,3+,South,1300.0,0,Relatively New,Unfurnished,4.3,Medium,Mid Floor
flat,sector 37,1.44,3,3,3+,North-West,2211.0,1,New Property,Unfurnished,4.2,Low,Mid Floor
flat,sector 37,1.26,3,3,3,North-East,1400.0,0,New Property,Unfurnished,4.2,Low,Mid Floor
flat,sector 68,1.05,2,2,2,North-East,1200.0,0,New Property,Furnished,4.0,Medium,High Floor
flat,sector 53,6.44,4,4,3,West,3068.0,1,Moderately Old,Furnished,3.8,Low,Mid Floor
flat,sector 62,7.56,4,4,3+,West,4200.0,1,Relatively New,Furnished,4.4,Medium,High Floor
flat,sector 43,3.8,3,3,3+,South-East,2450.0,1,Moderately Old,Furnished,4.3,Low,Low Floor
flat,sector 54,6.75,4,4,2,North,2076.0,1,Moderately Old,Semi-Furnished,5.0,Medium,Mid Floor
flat,sector 90,0.645,2,2,3,North-West,1225.0,0,Relatively New,Furnished,4.8,Low,High Floor
flat,sector 109,1.75,3,4,3+,North-East,1797.0,1,Relatively New,Unfurnished,4.6,Medium,Mid Floor
flat,sector 56,1.54,3,4,3+,South,1900.0,1,Old Property,Furnished,4.5,Medium,Mid Floor
flat,sector 102,1.4,3,3,3,North,1493.0,1,Relatively New,Furnished,4.6,Medium,Mid Floor
flat,sector 102,0.97,2,2,2,East,828.0,0,Relatively New,Unfurnished,4.4,Medium,High Floor
flat,sector 102,1.35,2,2,2,North-East,1230.0,0,Relatively New,Unfurnished,4.4,Medium,Mid Floor
flat,sector 102,1.75,3,4,3+,North,1757.0,1,Relatively New,Furnished,4.9,Medium,High Floor
flat,sector 103,2.2,4,6,3+,North-East,2602.0,1,Relatively New,Furnished,4.0,Medium,Mid Floor
flat,sector 108,2.45,3,3,3,West,1460.0,0,Relatively New,Unfurnished,4.38,Low,High Floor
flat,sector 106,1.5,4,6,3+,North-West,1535.0,1,Relatively New,Unfurnished,4.3,Medium,High Floor
flat,sector 113,2.4,3,4,3+,North-East,1940.0,1,Relatively New,Unfurnished,4.3,Low,Mid Floor
flat,sector 113,2.45,3,3,3+,North-East,1890.0,0,Relatively New,Unfurnished,4.3,Medium,Mid Floor
flat,sector 113,3.0,3,3,3+,East,2460.0,1,Relatively New,Unfurnished,4.3,Medium,Mid Floor
flat,sector 113,1.65,3,2,2,North-East,1420.0,0,Relatively New,Unfurnished,4.3,Low,Mid Floor
flat,sector 106,0.88,2,2,3+,South-East,1120.0,0,Relatively New,Unfurnished,4.3,Low,Mid Floor
flat,sector 106,0.88,2,2,3+,South,940.0,0,Relatively New,Unfurnished,4.3,Low,Low Floor
flat,sector 106,1.28,3,4,3+,North-West,1186.0,1,Relatively New,Unfurnished,4.3,Low,High Floor
flat,sector 106,1.34,4,5,3+,South-East,1535.0,1,Relatively New,Unfurnished,4.3,Low,Mid Floor
flat,sector 106,1.32,4,5,3+,South-West,1535.0,1,Relatively New,Unfurnished,4.3,Low,High Floor
flat,sector 106,1.13,3,4,3+,North-West,1186.0,1,Relatively New,Unfurnished,4.3,Low,High Floor
flat,sector 99,1.38,4,5,3+,South-East,2150.0,1,Relatively New,Unfurnished,3.25,Low,Low Floor
flat,sector 99,1.16,3,3,3,North-East,1790.0,1,Relatively New,Unfurnished,3.25,Low,Mid Floor
flat,sector 113,2.33,3,3,3,North,2098.0,1,New Property,Unfurnished,4.3,Medium,Mid Floor
flat,sector 113,3.05,3,4,3,North-East,2600.0,1,New Property,Unfurnished,4.3,Medium,High Floor
flat,sector 83,1.25,3,2,1,South-West,1654.0,1,Relatively New,Semi-Furnished,4.2,Medium,Mid Floor
flat,sector 79,1.25,3,3,2,South-West,1212.0,0,Relatively New,Furnished,4.8,Medium,Low Floor
flat,sector 83,1.05,3,3,2,South-West,1588.0,1,Relatively New,Furnished,4.2,Medium,High Floor
flat,sector 79,1.25,3,3,3,South-West,1154.0,0,Relatively New,Unfurnished,4.8,Medium,High Floor
flat,sector 79,1.1,3,3,3,South-West,1154.0,0,Relatively New,Furnished,4.8,Medium,High Floor
flat,sector 83,1.3,3,3,3,North,1387.0,1,Relatively New,Furnished,4.4,Medium,High Floor
flat,sector 84,2.28,4,4,3+,South-East,2998.0,1,Relatively New,Unfurnished,4.4,Low,Mid Floor
flat,sector 85,1.2,2,2,2,East,1190.0,1,Relatively New,Unfurnished,4.3,Medium,Mid Floor
flat,sector 85,1.22,2,2,3,North-East,1300.0,0,Relatively New,Unfurnished,4.3,Medium,High Floor
flat,sector 85,1.1,2,2,3,North,1173.0,0,Relatively New,Unfurnished,4.3,Medium,High Floor
flat,sector 85,1.15,2,2,3,North-East,1263.0,0,Relatively New,Unfurnished,4.3,Medium,High Floor
flat,sector 79,1.2,3,3,3,North,1165.0,0,Relatively New,Furnished,4.8,Medium,High Floor
flat,sector 83,1.4,3,3,3,North-West,1387.0,1,Relatively New,Furnished,4.4,Medium,Low Floor
flat,sector 83,1.1,3,3,2,South,1588.0,0,Relatively New,Furnished,4.2,Medium,Mid Floor
flat,sector 83,1.0,3,3,2,South-East,1575.0,0,Relatively New,Furnished,4.6,Medium,Low Floor
flat,sector 84,1.52,3,4,3,South,1703.0,1,Relatively New,Unfurnished,4.4,Medium,High Floor
flat,sector 83,1.8,3,4,3,West,1551.0,1,Relatively New,Furnished,4.4,Medium,Mid Floor
flat,sector 83,1.6,3,3,3+,East,1674.0,1,Relatively New,Furnished,4.4,Medium,Mid Floor
flat,sector 79,1.55,3,4,3,South-West,1416.0,1,Relatively New,Furnished,4.8,Medium,High Floor
flat,sector 79,1.3,3,3,2,West,1215.0,0,Relatively New,Unfurnished,4.8,Medium,Mid Floor
flat,sector 81,2.25,3,4,3+,West,2300.0,1,Relatively New,Furnished,5.0,Medium,Mid Floor
flat,sector 49,4.79,5,5,3+,South,3724.0,1,Relatively New,Unfurnished,4.5,Low,High Floor
flat,sector 90,1.25,3,3,3,South,1650.0,0,Relatively New,Furnished,4.5,Low,Mid Floor
flat,sector 91,1.4,3,3,3+,North,1700.0,0,Relatively New,Unfurnished,4.4,Low,Mid Floor
flat,sector 88a,1.38,3,3,3+,North,2296.0,1,Relatively New,Unfurnished,4.7,Low,Mid Floor
flat,sector 88a,1.3,3,3,3+,North-West,1990.0,0,Relatively New,Unfurnished,4.7,Low,Mid Floor
flat,sector 79,1.0,2,2,2,North-West,1300.0,0,Relatively New,Unfurnished,4.4,Low,Mid Floor
flat,sector 88a,1.0,2,2,3,North-West,1611.0,0,Relatively New,Unfurnished,4.7,Low,Mid Floor
flat,sector 88a,0.95,2,2,2,North-West,1452.0,0,Relatively New,Unfurnished,4.7,Medium,Mid Floor
flat,sector 66,1.85,2,3,3,South-East,1470.0,1,Relatively New,Furnished,5.0,Low,High Floor
flat,sector 77,1.65,4,3,3,South,1765.0,1,Relatively New,Unfurnished,4.6,Medium,Mid Floor
flat,sector 107,1.32,3,3,3,East,1758.0,0,Relatively New,Unfurnished,4.6,Medium,Mid Floor
flat,sector 107,1.02,2,2,3,North-East,1388.0,0,Relatively New,Unfurnished,4.6,Medium,Mid Floor
flat,sector 109,1.88,4,5,3,North-East,2765.0,0,Relatively New,Unfurnished,4.25,Medium,Mid Floor
flat,sector 102,2.15,3,4,3,South,1945.0,1,Relatively New,Unfurnished,4.9,Medium,High Floor
flat,sector 111,2.58,3,4,2,North,1991.0,1,Moderately Old,Unfurnished,4.2,Medium,Mid Floor
flat,sector 111,2.25,3,3,2,North-East,1538.0,0,Relatively New,Unfurnished,4.2,Medium,High Floor
flat,sector 109,1.75,3,4,3+,North-East,1946.0,1,Relatively New,Unfurnished,4.6,Medium,Mid Floor
flat,sector 108,0.93,2,3,3,East,1161.0,0,Relatively New,Unfurnished,4.4,Medium,Mid Floor
flat,sector 112,4.75,3,5,3+,West,3405.0,1,Relatively New,Furnished,4.6,Low,Mid Floor
flat,sector 79,1.72,3,4,3+,North-East,1695.0,1,Relatively New,Furnished,3.75,Medium,Mid Floor
flat,sector 72,6.75,4,4,3+,North-East,4000.0,1,New Property,Furnished,4.4,Medium,Low Floor
flat,sector 62,2.45,2,2,2,North-East,1200.0,0,New Property,Semi-Furnished,4.25,Medium,Mid Floor
flat,sector 85,2.2,4,5,3+,East,2545.0,0,Relatively New,Unfurnished,4.3,Medium,Mid Floor
flat,sector 72,5.25,4,4,3+,North-East,3000.0,1,New Property,Furnished,4.4,Medium,High Floor
flat,sector 72,5.0,4,4,3+,North-East,4000.0,1,New Property,Furnished,4.4,Medium,Low Floor
flat,sector 72,5.0,4,4,3+,North-East,4500.0,1,Moderately Old,Furnished,4.4,Medium,Low Floor
flat,sector 113,2.7,3,4,3+,North-West,2217.0,1,Relatively New,Furnished,4.3,Low,Mid Floor
flat,sector 48,2.65,4,4,3+,North-East,2134.0,1,Moderately Old,Furnished,4.7,Medium,High Floor
flat,sector 22,1.65,2,2,2,East,1200.0,0,Relatively New,Semi-Furnished,4.5,Medium,Mid Floor
flat,sector 22,2.55,3,3,3,North-East,1600.0,0,Relatively New,Semi-Furnished,4.5,Medium,Mid Floor
flat,sector 22,2.55,3,3,3,North-East,1600.0,0,Relatively New,Semi-Furnished,4.5,Low,Mid Floor
flat,sector 22,4.3,3,4,3+,South-West,2600.0,1,Relatively New,Semi-Furnished,4.5,Medium,Mid Floor
flat,sector 69,1.7,4,4,2,South-West,1804.0,1,Relatively New,Unfurnished,4.7,Medium,Mid Floor
flat,sector 22,2.4,2,2,2,South-East,1200.0,0,Relatively New,Semi-Furnished,4.5,Medium,Mid Floor
flat,sector 37,0.87,2,3,3+,North-West,1300.0,0,Relatively New,Unfurnished,4.25,Medium,Mid Floor
flat,sector 37,1.25,3,3,3,North-West,1350.0,0,Relatively New,Unfurnished,4.2,Low,Mid Floor
flat,sector 37,0.99,3,5,3+,North-West,1400.0,1,Relatively New,Unfurnished,4.25,Low,Mid Floor
flat,sector 102,1.39,3,3,3,West,1493.0,1,Relatively New,Furnished,4.6,Low,Mid Floor
flat,sector 50,2.7,3,3,3+,East,2400.0,1,Moderately Old,Unfurnished,4.5,Medium,Mid Floor
flat,sector 37,1.75,4,4,3,West,2100.0,0,Relatively New,Furnished,4.4,Medium,Mid Floor
flat,sector 37,1.55,4,3,3+,North-East,2100.0,0,Relatively New,Furnished,4.4,Medium,High Floor
flat,sector 37,1.6,4,3,3+,North,2000.0,0,Relatively New,Furnished,4.4,Medium,Mid Floor
flat,sector 109,1.4,3,3,3+,East,1466.0,0,Relatively New,Unfurnished,4.6,Low,Mid Floor
flat,sector 70,1.8,3,3,3,North-West,1925.0,0,Relatively New,Unfurnished,4.4,Medium,Mid Floor
flat,sector 107,1.65,4,5,3+,North-West,2505.0,1,Relatively New,Unfurnished,4.6,Low,High Floor
flat,sector 30,3.55,3,5,3+,North,2367.0,1,Old Property,Furnished,4.3,Medium,High Floor
flat,sector 43,6.0,4,4,3+,North-East,2556.0,1,Old Property,Furnished,4.2,Medium,High Floor
flat,sector 48,1.8,3,4,3,North-West,1951.0,0,Moderately Old,Furnished,4.7,Low,Mid Floor
flat,sector 70,2.5,3,4,3,South,2127.0,1,Relatively New,Furnished,4.5,Medium,Mid Floor
flat,sector 39,1.5,4,3,3,South-East,2611.0,1,Old Property,Semi-Furnished,4.25,Low,Mid Floor
flat,sector 83,1.04,3,2,2,South-West,1500.0,0,Moderately Old,Unfurnished,4.2,Medium,Low Floor
flat,sector 67,0.53,2,2,1,West,657.0,0,Relatively New,Furnished,4.5,Low,Mid Floor
flat,sector 70,1.64,3,5,3,North-East,1527.0,1,Relatively New,Unfurnished,4.5,Medium,Mid Floor
flat,sector 65,2.9,4,4,3+,North-East,1787.0,1,Relatively New,Furnished,4.5,Medium,Mid Floor
flat,sector 65,2.36,3,3,3,North-East,1493.0,1,Relatively New,Furnished,4.5,Medium,Low Floor
flat,sector 54,4.85,3,4,3+,North,1785.0,1,Moderately Old,Semi-Furnished,5.0,Medium,Mid Floor
flat,sector 83,1.25,3,3,2,West,1792.0,1,Relatively New,Unfurnished,4.2,Medium,Low Floor
flat,sector 90,0.92,3,3,2,North,2167.0,0,Relatively New,Furnished,4.8,Low,Mid Floor
flat,sector 81,2.7,3,3,3,North,2343.0,1,Relatively New,Furnished,4.4,Low,High Floor
flat,sector 90,0.7,2,3,2,North,1502.0,0,Relatively New,Furnished,4.8,Low,Mid Floor
flat,sector 85,1.25,2,2,2,North,1934.0,0,Relatively New,Furnished,4.3,Low,High Floor
flat,sector 85,2.3,4,4,3+,South,2545.0,1,Relatively New,Unfurnished,4.3,Low,Mid Floor
flat,sector 85,2.0,3,4,3,East,2179.0,1,Relatively New,Unfurnished,4.3,Low,Mid Floor
flat,sector 83,1.08,3,3,2,North-East,1570.0,0,Relatively New,Unfurnished,4.2,Low,High Floor
flat,sector 65,1.73,3,3,3,North-West,1262.0,1,Relatively New,Semi-Furnished,4.2,Medium,Mid Floor
flat,sector 65,1.3,2,2,2,West,812.0,0,Relatively New,Unfurnished,4.2,Medium,Mid Floor
flat,sector 65,2.85,4,4,3+,West,1787.0,1,Relatively New,Furnished,4.5,Medium,Low Floor
flat,sector 65,2.25,3,3,3+,South,1493.0,1,Relatively New,Unfurnished,4.5,Medium,Mid Floor
flat,sector 65,2.35,3,3,3,West,1493.0,1,Relatively New,Furnished,4.5,Medium,Low Floor
flat,sector 65,2.8,4,4,3,North,1800.0,0,Relatively New,Furnished,4.5,Medium,Low Floor
flat,sector 65,2.35,3,3,3,South-East,1500.0,1,Relatively New,Furnished,4.5,Low,Low Floor
flat,sector 65,2.75,4,4,3,North-West,1750.0,1,Relatively New,Furnished,4.5,Medium,Mid Floor
flat,sector 65,2.36,3,3,3,North-East,1524.0,1,Relatively New,Furnished,4.5,Medium,Low Floor
flat,sector 66,3.4,4,4,3+,North-East,2210.0,1,Relatively New,Furnished,4.6,Medium,Low Floor
flat,sector 77,0.8,2,2,2,North,1163.0,0,Relatively New,Furnished,4.6,Low,Mid Floor
flat,gwal pahari,7.0,4,4,3+,South-West,5430.0,1,Relatively New,Unfurnished,4.5,Low,Mid Floor
flat,sector 50,1.8,3,4,3+,North-East,1870.0,1,Moderately Old,Furnished,4.0,Medium,Mid Floor
flat,sector 50,2.65,3,4,3+,North,2470.0,1,Moderately Old,Furnished,4.5,Medium,Mid Floor
flat,sector 83,1.05,3,3,3,South-West,1618.0,0,Relatively New,Unfurnished,4.2,Medium,Mid Floor
flat,sector 50,1.88,3,3,3+,North,1790.0,0,Moderately Old,Furnished,4.0,Medium,High Floor
flat,sector 84,1.15,2,2,3,North-East,1361.0,0,Relatively New,Furnished,4.4,Low,Mid Floor
flat,sector 83,1.33,4,4,3,East,2193.0,1,Relatively New,Unfurnished,4.2,Low,Mid Floor
flat,sector 50,2.6,3,4,2,North-East,2700.0,1,Relatively New,Furnished,5.0,Medium,High Floor
flat,sector 50,2.97,3,3,3+,North,2600.0,1,Moderately Old,Furnished,4.5,Medium,Mid Floor
flat,sector 69,1.8,4,4,2,South-West,1819.0,0,Relatively New,Furnished,4.7,Medium,Mid Floor
flat,sector 69,1.78,4,4,2,North-East,1819.0,0,Relatively New,Furnished,4.7,Medium,Mid Floor
flat,sector 69,1.52,3,3,2,South-West,1428.0,0,Relatively New,Furnished,4.7,Medium,Mid Floor
flat,sector 69,1.55,3,3,2,North-East,1428.0,0,Relatively New,Furnished,4.7,Medium,Mid Floor
flat,sector 86,1.55,3,3,1,North-East,1900.0,0,Relatively New,Furnished,5.0,Medium,High Floor
flat,sector 83,0.4,1,1,1,North-East,520.0,0,Relatively New,Semi-Furnished,4.75,Low,Mid Floor
flat,sector 70,2.4,3,3,3,South-West,1946.0,1,Relatively New,Unfurnished,4.5,Medium,High Floor
flat,sector 82,1.37,3,3,3,South,2000.0,1,Relatively New,Furnished,4.8,Medium,High Floor
flat,sector 49,2.65,3,4,3,East,1750.75,1,Moderately Old,Furnished,4.4,Medium,High Floor
flat,sector 104,1.16,3,4,3+,East,2018.0,1,Relatively New,Furnished,3.9,Medium,Mid Floor
flat,sector 104,1.05,3,4,3+,East,2000.0,1,Relatively New,Furnished,3.9,Medium,Mid Floor
flat,sector 104,1.35,4,5,3+,North-East,3000.0,1,Relatively New,Unfurnished,3.9,Medium,Low Floor
flat,sector 104,1.35,4,5,3+,South-East,2991.0,1,Relatively New,Unfurnished,3.9,Medium,Low Floor
flat,sector 66,2.85,3,3,3,North-East,1920.0,0,Relatively New,Furnished,4.8,Medium,High Floor
flat,sector 84,0.35,2,2,1,East,528.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 107,0.88,2,2,3+,East,1236.0,0,Relatively New,Unfurnished,4.6,Medium,Mid Floor
flat,sector 102,2.4,3,4,3+,North-East,2334.0,0,Relatively New,Furnished,4.4,Low,Mid Floor
flat,sector 60,3.6,4,5,3,North-East,2604.0,1,Relatively New,Furnished,5.0,Low,High Floor
flat,gwal pahari,7.5,4,4,3+,North-East,4842.0,1,New Property,Furnished,4.5,Low,High Floor
flat,sector 113,1.45,2,2,2,South,1080.0,0,Relatively New,Unfurnished,4.3,Medium,Mid Floor
flat,sector 50,2.35,3,3,3+,North-East,1950.0,0,Moderately Old,Furnished,4.5,Medium,Mid Floor
flat,sector 82,0.9425,2,2,2,East,1299.0,0,Relatively New,Furnished,4.8,Medium,High Floor
flat,sector 82,0.805,2,2,2,West,1176.0,0,Relatively New,Furnished,4.8,Medium,High Floor
flat,sector 50,3.1,3,4,3+,North-East,2450.0,1,Moderately Old,Furnished,4.7,Medium,Mid Floor
flat,sector 82,1.39,3,3,3+,East,1955.0,1,Relatively New,Furnished,4.8,Medium,High Floor
flat,sector 82,0.9375,2,2,3+,North,1299.0,0,Relatively New,Furnished,4.8,Medium,Mid Floor
flat,sector 82,0.775,2,2,2,North-West,1175.0,0,Relatively New,Furnished,4.8,Medium,Low Floor
flat,sector 82,0.855,2,2,2,North-East,1294.0,0,Relatively New,Unfurnished,4.8,Medium,Mid Floor
flat,sector 85,0.685,2,2,2,South-West,1075.0,0,Relatively New,Unfurnished,4.88,Low,Mid Floor
flat,sector 79,2.03,3,4,3+,South-East,2031.0,1,Relatively New,Unfurnished,4.7,Medium,Mid Floor
flat,sector 85,0.799,3,4,3,West,1390.0,1,Relatively New,Furnished,3.8,Low,Mid Floor
flat,sector 90,0.645,2,2,3,South-East,1050.0,0,Relatively New,Unfurnished,4.8,Low,Mid Floor
flat,sector 84,1.01,3,3,2,North-West,1475.0,0,Relatively New,Unfurnished,3.8,Low,High Floor
flat,sector 90,1.27,4,5,2,North-East,2248.0,1,New Property,Unfurnished,4.8,Medium,Mid Floor
flat,sector 83,0.84,2,2,2,East,1127.0,0,Moderately Old,Furnished,4.2,Medium,Mid Floor
flat,sector 85,1.77,3,4,3,South-East,1450.0,1,Moderately Old,Furnished,4.3,Medium,Mid Floor
flat,sector 69,1.68,4,4,2,South-West,1819.0,0,Relatively New,Unfurnished,4.7,Medium,Low Floor
flat,sector 69,1.66,4,4,1,South-East,1783.0,0,Relatively New,Unfurnished,4.7,Medium,High Floor
flat,sector 69,1.4,3,3,2,North-East,1428.0,0,Relatively New,Unfurnished,4.7,Medium,Low Floor
flat,sector 81,2.29,3,4,3+,West,1900.0,1,Relatively New,Semi-Furnished,4.4,Medium,High Floor
flat,sector 90,1.21,3,3,3+,West,1929.0,1,Relatively New,Unfurnished,4.4,Medium,Mid Floor
flat,sector 92,0.5,3,3,2,North,1068.0,0,Relatively New,Unfurnished,4.0,Low,Low Floor
flat,sector 77,0.7120000000000001,2,2,2,North-West,1057.0,0,Relatively New,Unfurnished,4.6,Medium,Mid Floor
flat,sector 65,3.0,4,4,3+,South-East,1787.0,1,Relatively New,Unfurnished,4.5,Medium,Low Floor
flat,sector 90,1.2,3,3,3+,South-West,1572.0,0,Relatively New,Unfurnished,4.5,Medium,High Floor
flat,sector 72,3.25,3,3,3,South,2986.0,1,Moderately Old,Unfurnished,4.4,Medium,Low Floor
flat,sohna road,0.9,2,2,3+,North-East,1100.0,0,Moderately Old,Furnished,4.25,Medium,Mid Floor
flat,sohna road,1.07,3,3,3+,North-East,1600.0,0,Relatively New,Unfurnished,4.25,Medium,Mid Floor
flat,sector 85,1.2,2,2,3,South,1484.0,0,Relatively New,Furnished,4.3,Medium,High Floor
flat,sector 85,2.15,4,5,3+,South,2545.0,1,Relatively New,Unfurnished,4.3,Medium,Low Floor
flat,sector 69,1.72,4,4,1,North-East,1783.0,0,Relatively New,Unfurnished,4.7,Medium,High Floor
flat,sector 69,1.36,3,3,1,North-West,1392.0,0,Relatively New,Unfurnished,4.7,Medium,High Floor
flat,sector 69,1.75,4,4,1,North-West,1783.0,0,Relatively New,Unfurnished,4.7,Medium,High Floor
flat,sector 69,1.75,4,4,1,North-West,1783.0,0,Relatively New,Unfurnished,4.7,Medium,High Floor
flat,sector 69,1.38,3,3,1,West,1392.0,0,Relatively New,Unfurnished,4.7,Medium,High Floor
flat,sector 69,1.29,3,3,1,North-East,1419.0,0,Relatively New,Furnished,4.7,Medium,High Floor
flat,sector 69,1.37,3,3,1,East,1568.0,0,Relatively New,Unfurnished,4.7,Medium,High Floor
flat,sector 69,1.32,3,3,1,South-West,1419.0,0,Relatively New,Furnished,4.7,Medium,High Floor
flat,sector 69,1.3,3,3,1,West,1392.0,0,Relatively New,Furnished,4.7,Medium,High Floor
flat,sector 86,1.3,3,3,3,North,1747.0,1,Moderately Old,Furnished,4.4,Medium,High Floor
flat,sector 86,1.5,3,3,1,South-East,1550.0,0,Relatively New,Unfurnished,5.0,Medium,High Floor
flat,sector 69,1.68,4,4,2,North-West,1819.0,0,Relatively New,Unfurnished,4.7,Medium,Low Floor
flat,sector 69,1.4,3,3,2,North,1428.0,0,Relatively New,Unfurnished,4.7,Medium,High Floor
flat,sector 86,1.5,3,3,1,East,1719.0,0,Relatively New,Unfurnished,5.0,Low,High Floor
flat,sector 107,0.5,3,2,2,North-East,717.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 107,0.36,2,2,1,North-West,598.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 72,3.1,4,5,3+,South,3374.0,1,Moderately Old,Unfurnished,4.4,Medium,Mid Floor
flat,sector 95,0.31,2,2,1,North,610.0,0,Relatively New,Furnished,4.25,Medium,Mid Floor
flat,sector 92,0.71,3,3,3,North-West,1473.0,0,Relatively New,Unfurnished,4.0,Medium,Low Floor
flat,sector 83,1.15,3,3,1,South-West,1607.0,0,Moderately Old,Furnished,4.2,Medium,Mid Floor
flat,sector 83,1.05,3,2,2,South-West,1600.0,0,Moderately Old,Furnished,4.2,Medium,Low Floor
flat,sector 61,2.1,3,3,3,South-East,1592.0,0,Relatively New,Furnished,4.2,Low,High Floor
flat,sector 107,0.285,2,2,2,North-East,543.0,0,Relatively New,Unfurnished,4.0,Low,Low Floor
flat,sector 107,0.2775,2,2,2,North,543.0,0,Relatively New,Unfurnished,4.0,Low,High Floor
flat,sector 107,0.275,2,2,2,North-West,543.0,0,Relatively New,Unfurnished,4.0,Low,High Floor
flat,sector 107,0.28,2,2,2,South,543.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 103,0.235,1,1,1,North-East,400.0,0,Relatively New,Unfurnished,4.6,Low,Mid Floor
flat,sector 107,0.355,2,2,2,North-West,608.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 107,0.51,3,2,2,South,717.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 107,0.35,2,2,2,South,608.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 107,0.285,2,2,2,South,543.0,0,Relatively New,Unfurnished,4.0,Low,High Floor
flat,sector 107,0.36,2,2,2,South-East,608.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 65,2.0,3,3,3,North-West,1833.0,1,Relatively New,Furnished,4.5,Medium,Low Floor
flat,sector 66,2.7,4,4,3,North,2501.0,1,Relatively New,Unfurnished,3.75,Low,Mid Floor
flat,sector 65,4.94,3,4,3,North-East,2754.0,1,Moderately Old,Unfurnished,5.0,Medium,High Floor
flat,sector 69,1.75,4,4,2,North-East,1819.0,0,Relatively New,Furnished,4.7,Medium,Mid Floor
flat,sector 90,1.25,4,5,2,South,2330.0,1,Relatively New,Unfurnished,4.8,Medium,Mid Floor
flat,sector 90,0.92,3,4,3,North-East,1493.0,1,Relatively New,Unfurnished,4.8,Medium,Mid Floor
flat,sector 90,1.3,4,5,2,North-East,2134.0,1,Relatively New,Unfurnished,4.8,Medium,Mid Floor
flat,sector 69,0.62,2,2,1,North-East,536.0,0,Relatively New,Furnished,4.0,Medium,Mid Floor
flat,sector 69,1.92,4,5,3+,East,2172.0,1,Relatively New,Furnished,4.0,Medium,Mid Floor
flat,sector 56,2.0,4,4,3,West,2253.0,0,Relatively New,Furnished,4.5,Low,Mid Floor
flat,sector 70,2.0,4,5,3+,South-East,2172.0,1,Relatively New,Furnished,3.8,Low,Low Floor
flat,manesar,0.75,3,4,3,East,2717.0,1,Relatively New,Unfurnished,4.12,Low,Mid Floor
flat,sector 85,1.85,3,4,3,North,2179.0,1,Relatively New,Furnished,4.3,Low,Low Floor
flat,sector 91,0.89,2,2,3+,East,1302.0,0,Relatively New,Furnished,4.4,Low,Mid Floor
flat,sector 85,1.25,3,4,2,East,1616.0,1,Relatively New,Furnished,4.88,Low,Mid Floor
flat,sector 102,2.15,3,3,3,South-West,1690.0,0,Relatively New,Furnished,4.4,Low,Mid Floor
flat,sector 67,3.05,3,3,3+,South-West,2029.0,1,Relatively New,Furnished,4.5,Medium,High Floor
flat,sector 67,2.65,3,3,3,North-East,1900.0,0,Relatively New,Furnished,4.2,Medium,Low Floor
flat,sector 81,0.49,2,2,3,South,700.0,0,Relatively New,Unfurnished,3.5,Medium,Mid Floor
flat,sector 70,1.82,3,3,3,South,1600.0,0,Relatively New,Unfurnished,4.25,Medium,High Floor
flat,sector 81,0.5,2,2,3,South,700.0,0,Relatively New,Unfurnished,3.5,Medium,Mid Floor
flat,sector 77,0.92,3,3,3,North-East,1602.0,0,Relatively New,Furnished,4.6,Low,High Floor
flat,sector 70,1.65,3,4,3,North,1586.0,1,Relatively New,Semi-Furnished,4.5,Medium,Low Floor
