property_type,sector,price_per_sqft,bedRoom,bathroom,balcony,servant room,age_category,furnishing_type,combined_rating,dist_cyber_city_km,luxury_category,floor_category,price
0.0,96.0,5008.0,4,5,4.0,1,0.0,2.0,4,19.438662025225774,1.0,2.0,0.95
0.0,79.0,7857.0,2,2,2.0,0,3.0,2.0,4,16.16370147099269,2.0,1.0,0.99
0.0,39.0,6377.0,3,3,4.0,0,3.0,2.0,4,11.022736662002515,2.0,2.0,1.1
0.0,69.0,8862.0,4,4,3.0,0,1.0,0.0,4,12.360901540268934,2.0,2.0,1.9
0.0,39.0,4320.0,3,3,4.0,0,4.0,2.0,4,11.022736662002515,1.0,2.0,1.0
0.0,59.0,11111.0,3,3,3.0,0,0.0,2.0,4,7.981671659354797,2.0,2.0,2.5
0.0,32.0,10407.0,2,2,2.0,0,3.0,2.0,4,6.681786888085641,1.0,0.0,1.1
0.0,98.0,5179.0,2,2,2.0,0,3.0,2.0,4,19.467363206073667,2.0,0.0,0.29
0.0,98.0,5556.0,2,2,3.0,0,1.0,2.0,4,19.467363206073667,1.0,0.0,0.55
0.0,96.0,4745.0,3,2,3.0,0,3.0,2.0,4,19.438662025225774,1.0,2.0,0.65
0.0,100.0,9398.0,2,2,2.0,0,1.0,2.0,4,10.315343042261606,1.0,2.0,0.5
0.0,99.0,5522.0,2,2,1.0,0,1.0,2.0,3,12.749467120010372,1.0,1.0,0.3175
0.0,6.0,6405.0,2,3,3.0,1,3.0,0.0,4,9.988958745407531,2.0,2.0,0.93
0.0,92.0,8433.0,3,3,2.0,0,1.0,2.0,4,16.34701940513016,1.0,1.0,1.2
0.0,100.0,4688.0,2,2,2.0,0,3.0,2.0,4,10.315343042261606,1.0,2.0,0.3
0.0,100.0,6813.0,2,2,3.0,0,1.0,2.0,4,10.315343042261606,2.0,2.0,0.56
0.0,50.0,12506.0,3,4,4.0,0,0.0,2.0,4,9.85228261520027,1.0,2.0,2.7
0.0,94.0,5128.0,3,4,3.0,1,1.0,2.0,4,17.784613471274927,2.0,2.0,1.0
0.0,35.0,11154.0,3,2,2.0,0,2.0,1.0,4,4.789822511420023,2.0,1.0,1.45
0.0,92.0,8784.0,3,3,0.0,0,1.0,2.0,4,16.34701940513016,1.0,2.0,1.25
0.0,68.0,10598.0,5,5,4.0,1,1.0,2.0,3,11.333973268769041,2.0,0.0,4.5
0.0,100.0,3769.0,2,2,1.0,0,3.0,2.0,3,10.315343042261606,1.0,0.0,0.28
0.0,64.0,17200.0,3,4,4.0,1,4.0,2.0,4,9.325542058746992,2.0,0.0,3.87
0.0,12.0,6339.0,3,3,1.0,0,0.0,2.0,4,8.234325662834179,1.0,2.0,1.38
0.0,42.0,6615.0,2,2,1.0,0,3.0,2.0,4,7.966272839288784,1.0,1.0,0.43
